source,pedon_id,order,lat,lon,latlon_q,horizon_number,horizon,horizon_type,depth2,depth1,depth,bulk_density,bd_method,cf,cf_method,cconc,cconc_method,mineral_d,ff_d,total_d,ccontent,total_c,ccontent_1m,total_c_1m,pedon_start
SANBORN & MASSICOTTE 2010,BC09-04,Gleyed Dystric Brunisol,54.07572222,-131.6861111,HIGH,1,Lv/S,NA,7,6,1,0.16,0,0,2,53.95,0,100,7,107,863,6820,863,65.55,TRUE
SANBORN & MASSICOTTE 2010,BC09-04,Gleyed Dystric Brunisol,54.07572222,-131.6861111,HIGH,2,Fm,NA,6,2,4,0.16,0,0,2,21.77,0,,,,1393,,1393,,FALSE
SANBORN & MASSICOTTE 2010,BC09-04,Gleyed Dystric Brunisol,54.07572222,-131.6861111,HIGH,3,Hh,NA,2,0,2,0.16,0,0,2,41.5,0,,,,1328,,1328,,FALSE
SANBORN & MASSICOTTE 2010,BC09-04,Gleyed Dystric Brunisol,54.07572222,-131.6861111,HIGH,4,Aeg,NA,0,-3,3,1.48,0,0,2,0.47,0,,,,209,,209,,FALSE
SANBORN & MASSICOTTE 2010,BC09-04,Gleyed Dystric Brunisol,54.07572222,-131.6861111,HIGH,5,Bmg,NA,-3,-35,32,1.59,0,0,2,0.21,0,,,,1068,,1068,,FALSE
SANBORN & MASSICOTTE 2010,BC09-04,Gleyed Dystric Brunisol,54.07572222,-131.6861111,HIGH,6,BC,NA,-35,-60,25,1.59,0,0,2,0.16,0,,,,636,,636,,FALSE
SANBORN & MASSICOTTE 2010,BC09-04,Gleyed Dystric Brunisol,54.07572222,-131.6861111,HIGH,7,Cg,NA,-60,-110,50,1.47,0,0,2,0.18,0,,,,1323,,1058,,FALSE
SANBORN & MASSICOTTE 2010,BC09-01,Gleyed Dystric Brunisol,54.02630556,-131.9822222,HIGH,1,Lv,NA,13,12,1,0.16,0,0,2,53.33,0,100,13,113,853,13978,853,138.16,TRUE
SANBORN & MASSICOTTE 2010,BC09-01,Gleyed Dystric Brunisol,54.02630556,-131.9822222,HIGH,2,Fm,NA,12,11,1,0.16,0,0,2,50.78,0,,,,812,,812,,FALSE
SANBORN & MASSICOTTE 2010,BC09-01,Gleyed Dystric Brunisol,54.02630556,-131.9822222,HIGH,3,Hh,NA,11,0,11,0.16,0,0,2,49.88,0,,,,8779,,8779,,FALSE
SANBORN & MASSICOTTE 2010,BC09-01,Gleyed Dystric Brunisol,54.02630556,-131.9822222,HIGH,4,Ae,NA,0,-7,7,1.32,0,0,2,0.35,0,,,,323,,323,,FALSE
SANBORN & MASSICOTTE 2010,BC09-01,Gleyed Dystric Brunisol,54.02630556,-131.9822222,HIGH,5,Bm1,NA,-7,-25,18,1.35,0,0,2,0.58,0,,,,1409,,1409,,FALSE
SANBORN & MASSICOTTE 2010,BC09-01,Gleyed Dystric Brunisol,54.02630556,-131.9822222,HIGH,6,Bm2,NA,-25,-55,30,1.55,0,0,2,0.25,0,,,,1162,,1162,,FALSE
